"organism","project_home","project","n_samples","study_title","study_abstract"
"human","data_sources/sra","SRP148477",971,"Single cell RNA sequencing of B cells from allergic individuals","IgE antibodies mediate the symptoms of allergic reactions, yet these antibodies and the cells that produce them remain enigmatic due to their scarcity in humans. To address this, we have isolated single B cells of all isotypes, including rare IgE producing B cells, from the peripheral blood of food allergic individuals. Using single cell RNA sequencing (scRNA-seq) we have characterized the gene expression, splicing, and heavy and light chain antibody sequences of these cells."
"human","data_sources/sra","SRP212077",54,"Longitudinal Blood Transcriptomic Changes Predict Lung Function Decline in patients with Idiopathic Pulmonary Fibrosis","Rationale: Molecular markers of disease progression in idiopathic pulmonary fibrosis are needed. Objective: Derive and validate a blood transcriptomic predictor of forced vital capacity (FVC) decline. Methods: A training cohort (n=74) of IPF patients was stratified according to the presence of progressive disease, defined as =10% relative decline in FVC over 12 months. Baseline to 4-month within-patient changes in gene expression were correlated with categorical FVC decline. Genes predictive of FVC decline were identified by two-group comparison with false discovery rate <5% followed by logistic LASSO regression and 10-Fold Cross-Validation for gene list prioritization. Independent validation cohorts with differing transcriptome assay platforms and blood transcriptome sampling times from UChicago (n=27), UPMC (n=35), and Imperial (n=24) underwent receiver operating characteristic with area under the curve (AUC) analyses for validation. Results: A longitudinally-derived FVC-gene predictor accurately discriminated most patients with stable and progressive IPF across four independent IPF cohorts with variable transcriptomic assay platforms and sampling times. The FVC-gene predictorand demonstrated sensitivity and specificity of 74.3% and 82.4% in the combined replication cohort. The likelihood ratio, LR+ and LR- were 4.11 and 0.32, respectively. TGF-beta was the highest-ranking canonical pathway by Gene Set Enrichment Analysis. An approach using longitudinal gene expression changes approach dramatically reduced within-group variation compared to cross-sectional expression for improved prediction modeling. Conclusions: This novel FVC-gene predictor developed from short-term longitudinal gene expression changes successfully discriminates most patients with high likelihood of one-year 10% FVC decline. This tool may better reflect disease activity and prove useful for predictive enrichment of clinical trial populations. Overall design: Study populations were collected from the University of Chicago Medical Center and was approved by the institutional review board (IRB#14163) and informed consent was provided by all study subjects. All patients with IPF met American Thoracic Society/European Respiratory Society (ATS/ERS) diagnosis criteria. Demographic information, clinical characteristics, and pulmonary function tests were collected from all patients with IPF. Spirometry testing, including forced vital capacity percent predicted (FVC% predicted), diffusion capacity for carbon monoxide percent predicted (DLCO % predicted) as well as lung volumes by plethysmography were obtained per ATS guidelines. The prognosis of IPF subjects was dichotomously categorized as FVC stable (FVC-S) or FVC decline (FVC-D) defined by < or =10% reduction in FVC% predicted from the baseline to over 2 years of follow-up. PBMC samples were analyzed."
"human","data_sources/sra","SRP215977",50,"FFPE and FF samples RNA-seq","A comparative analysis of RNA sequencing methods with ribosome RNA depletion for degraded and low-input total RNA from formalin-fixed and paraffin-embedded samples"
"human","data_sources/sra","SRP195777",124,"Identification of HIV Transmitting CD11c+ Human Epidermal Dendritic Cells","Langerhans cells (LC) represent one of the first lines of contact between the immune system and sexually transmitted pathogens, and in the human epidermis LCs have been thought to represent the only mononuclear phagocyte (MNP) population. Here we show an additional epidermal MNP subset that can be distinguished from LCs phenotypically as CD11chi, CD1c+ MR+ (epidermal CD11c+ DCs). These cells are transcriptionally similar to dermal cDC2 but express higher levels of costimulatory markers and are more efficient at T cell stimulation. Importantly, compared to LC, epidermal CD11c+ DCs are i) enriched in the epithelium of anogenital tissues where they preferentially interact with HIV, ii) express the higher levels of the HIV entry receptor CCR5, iii)  support the higher levels of HIV uptake and replication and iv) are more efficient at transferring virus to CD4 T cells. Importantly these findings were observed using both a lab-adapted and transmitted/founder strain of HIV. We also describe a cell population that can be discerned from LCs by their lower surface expression of CD45, HLA-DR and CD33 (epidermal CD33low cells). These are transcriptionally similar to LCs but do not appear to function as APCs as do not secrete cytokines, express negligible amounts of costimulatory molecules and are very weak inducers of T cell proliferation. They also do not act as HIV target cells. Our findings reveal a new subset of epidermal DCs in skin and anogenital tissues with a potential key role in sexual transmission of HIV. Overall design: Sorted cell populations from four donors were captured directly into lysis buffer and polyA RNA transcripts were reverse transcribed, amplified and sequenced using the Smart-seq 2 protocol described by Picelli et al (Nature Methods. 2013;10(11):1096-8).  Each sample was sequenced across 4 HiSeq lanes and the data for each lane is represented as an independent sample (GSM)."
"human","data_sources/sra","SRP081477",1009,"Single Cell Transcriptome Conservation in Cryopreserved Cells and Tissues","Sample preservation method that maintains transcripts in viable single cells and so allows to disconnect time and place of sampling from subsequent processing steps. Overall design: Single cell transcriptomes from 1,486 fresh and conserved cells from human blood, ovarian and lung tumor xenografts, mouse colon tissue, and human, mouse and canine cell cultures."
"human","data_sources/sra","SRP102077",573,"H-STS NET cell line perturbed with small molecule compounds","Expression profile of H-STS NET cell line at 6h and 24h after perturbation with small molecule compounds. Overall design: H-STS cells were perturbed with small molecule compounds at isopotent concentrations, corresponding to ED20 and 1/10 of it, as measured by cell viability assays at 60h, or vehicle control (DMSO, ethanol and methanol). The cells were lysed at 6h and 24h after perturbation and total RNA isolated. Libraries for RNA-seq were generated with the TruSeq protocol (Illumina) and sequenced in a Hi-Seq 2500 instrument (Illumina)."
"human","data_sources/sra","SRP159277",60,"Inhibition of the integrin alpha-V beta-3 reverts the paradoxical effect of levothyroxine replacement during bexarotene therapy in cutaneous T-cell lymphoma","Bexarotene is a specific RXR agonist that has been used for the treatment of cutaneous T-cell lymphoma (CTCL). The mechanism of action is pleiotropic but impacts directly on CTCL cell proliferation, chemotaxis and apoptosis, and indirectly on lymphoma immunity. Bexarotene causes hypothyroidism in more than 90% of patients thus requiring the concomitant administration of levothyroxine. Hereon we investigated the consequence of levothyroxine administration to the antineoplastic effect of bexarotene in CTCL. We found that bexarotene induces transcriptional and biological changes in CTCL cells related to decreased cell proliferation and chemotaxis, as well as increased proliferation and interferon response. Although lack of levothyroxine supplementation during bexarotene treatment increased apoptosis and decreased cell proliferation of CTCL cells in vitro and in vivo, it also decreased the lymphoma immunity. Since levothyroxine activates both the ubiquitous TRA nuclear receptor and the more restricted integrin ?V?3 membrane receptor that is overexpressed in CTCL cells, we investigated their role in bexarotene treatment. We demonstrated that genetic and pharmacologic inhibition of the integrin ?V?3 receptors resulted in improved bexarotene-induced effects on apoptosis, cell proliferation and chemotaxis while maintaining the lymphoma immunity. Our results provide a mechanistic rationale for evaluating the addition of the integrin ?V?3 inhibitor cilengitide to CTCL therapeutic regimens that are based on bexarotene and levothyroxine supplementation. Overall design: RNA was isolated from HuT 78 cells transfected with siRNA for integrins (si-ITGAV/B3); TRA (si-TR) or non-target sequences (si-CT) followed by treatment with bexarotene in the presence of physiological concentrations of TH, for 6 hours using TRI-REAGENT"
"human","data_sources/sra","SRP150777",59,"Precision Medicine for Relapsed Multiple Myeloma Based on an Integrative Multi-Omics Approach","We have developed a novel computational platform for precision medicine of relapsed/refractory MM based on DNA and RNA sequencing and tested our approach in a pilot precision medicine clinical trial with 64 patients with relapsed/refractory MM."
"human","data_sources/sra","SRP056477",53,"Distinct brain transcriptome profiles in c9orf72-associated and sporadic ALS","Increasing evidence suggests that defective RNA processing contributes to the development of amyotrophic lateral sclerosis (ALS). This may be especially true for ALS caused by a repeat expansion in C9orf72 (c9ALS), in which the accumulation of RNA foci and dipeptide-repeat proteins are expected to modify RNA metabolism. We report extensive alternative splicing (AS) and alternative polyadenylation (APA) defects in the cerebellum of c9ALS cases (8,224 AS, 1,437 APA), including changes in ALS-associated genes (e.g. ATXN2 and FUS), and cases of sporadic ALS (sALS; 2,229 AS, 716 APA). Furthermore, hnRNPH and other RNA-binding proteins are predicted as potential regulators of cassette exon AS events for both c9ALS and sALS. Co-expression and gene-association network analyses of gene expression and AS data revealed divergent pathways associated with c9ALS and sALS. Overall design: Examination transcriptiome profiles in c9orf72-associated ALS, sporadic ALS and healthy control"
"human","data_sources/sra","SRP151577",51,"Gene activation precedes DNA demethylation in response to infection in human dendritic cells","DNA methylation is considered to be a relatively stable epigenetic mark. Yet, a growing body of evidence indicates that DNA methylation levels can change rapidly, for example, in innate immune cells facing an infectious agent. Nevertheless, the causal relationship between changes in DNA methylation and gene expression during infection remains to be elucidated. Here, we generated time-course data on DNA methylation, gene expression, and chromatin accessibility patterns during infection of human dendritic cells with Mycobacterium tuberculosis. We found that the immune response to infection is accompanied by active demethylation of thousands of CpG sites overlapping distal enhancer elements. However, virtually all changes in gene expression in response to infection occur prior to detectable changes in DNA methylation, indicating that the observed losses in methylation are a downstream consequence of transcriptional activation. Footprinting analysis revealed that immune-related transcription factors (TF), such as NF-?B/Rel, are recruited to enhancer elements prior to the observed losses in methylation, suggesting that DNA demethylation is mediated by TF binding to cis-acting elements. Collectively, our results show that DNA demethylation is not necessarily required for the establishment of the core regulatory program engaged upon infection. Overall design: Gene expression profiles of non-infected (NI) and Mycobacterium tuberculosis (MTB)-infected dendritic cells, at multiple time points (in hours (h)). MTB was used either live or after heat inactivation (HI)."
"human","data_sources/sra","SRP039077",61,"Gene expression analysis of airway epithelial cells exposed to flagellin via RNA-seq","Airway epithelial cells (AEC) are critical components of the inflammatory and immune response during exposure to pathogens. AECs in monolayer culture and differentiated epithelial cells in air-liquid interface (ALI) represent two distinct and commonly used in vitro models, yet differences in their response to pathogens have not been investigated. In this study, we compared the transcriptional effects of flagellin on AECs in monolayer culture versus ALI culture using exon microarrays and RNAsequencing. We found that AECs cultured in monolayer and ALI have strikingly different transcriptional states at baseline. When challenged with flagellin, monolayer AEC cultures greatly increased transcription of numerous genes mapping to wounding response, immunity and inflammatory response. In contrast, AECs in ALI culture had an unexpectedly muted response to flagellin, both in number of genes expressed and relative enrichment of inflammatory and immune pathways. In conclusion, In vitro culturing methods have a dramatic effect on the transcriptional profile of AECs at baseline and after stimulation with flagellin. These differences suggest that epithelial responses to pathogen challenges are distinctly different in culture models of intact and injured epithelium. Overall design: A total of eight independent RNAseq experiments were conducted. Four RNAseq experiments (n = 2 unstimulated, n = 2 stimulated with flagellin) were performed using AECs grown in monolayer. Four RNAseq experiments (n =2 unstimulated, n = 2 stimulated with flagellin) were conducted using AECs grown in ALI cultures"
"human","data_sources/sra","SRP106077",230,"YY1 haploinsufficiency causes an intellectual disability syndrome featuring transcriptional and chromatin dysfunction [RNA-seq]","Yin and yang 1 (YY1) is a well-known zinc-finger transcription factor with crucial roles in normal development and malignancy. YY1 acts both as a repressor and an activator of gene expression. We have identified 23 individuals with de novo mutations or deletions of YY1 and phenotypic features that define a syndrome of cognitive impairment, behavioral alterations, intrauterine growth retardation, feeding problems, and various congenital malformations. Our combined clinical and molecular data define the 'YY1 syndrome' as a haploinsufficiency syndrome. Through immunoprecipitation of YY1-bound chromatin from person-derived cells, using antibodies recognizing both ends of the protein, we show that YY1 deletions and missense mutations lead to a global loss of YY1 binding, with a preferential retention at high-occupancy sites. Finally, we uncover a widespread loss of H3K27 acetylation in particular on the YY1-bound enhancers, underscoring a crucial role for YY1 in enhancer regulation. Collectively, these results define a clinical syndrome caused by haploinsufficiency of YY1 through dysregulation of key transcriptional regulators. Overall design: Individuals with mutations or deletion in YY1 were identified among patients with idiopathic intellectual disability. LCLs were established from 4 of these patients (1 deletion, 2 missense mutations, and 1 non-sense mutation undergoing non-sense-mediated decay) as well as from unrelated controls, and their transcriptome were compared."
"human","data_sources/sra","ERP020977",1261,"_Genetics_of_gene_expression_in_macrophage_immune_response_Open_access","We differentiated macrophages from induced pluripotent stem cells in 86 unrelated, healthy individuals derived by the Human Induced Pluripotent Stem Cells Initiative (HIPSCI), and profiled gene expression and chromatin accessibility in four experimental conditions: naive, interferon-gamma (IFNy) treatment, Salmonella infection and IFNy treatment followed by Salmonella infection. We detected gene expression QTLs (eQTLs) for 5,383 genes, and chromatin accessibility QTLs (caQTLs) for 32,918 accessible regions, including hundreds of long-range interactions. We show that profiling even a small number of additional cellular states substantially increases the number of eQTLs that we can confidently colocalise with a known disease association, with approximately 30% new disease-eQTL pairs discovered in each additional state. Furthermore, we show that approximately 50% of stimulus-specific effects on gene expression manifest in naïve cells where they alter chromatin accessibility alone. Our results suggest that many disease-associated genetic variants lie in regulatory elements in a ‘primed’ state waiting for an appropriate environmental signal before regulating gene expression."
"human","data_sources/sra","SRP145493",195,"Cell type specific gene expression patterns associated with posttraumatic stress disorder in World Trade Center responders","Posttraumatic stress disorder (PTSD) has been linked to immunologic dysregulation. Gene expression profiling has emerged as a promising tool for understanding the pathophysiology of PTSD. However, to date, all but one gene expression study was based on whole blood or unsorted peripheral blood mononuclear cell (PBMC), a complex tissue consisting of several populations of cells. The objective of this study was to utilize RNA sequencing to simultaneously profile the gene-expression of four immune cell subpopulations in World Trade Center responders. Pathway analyses identified gene sets related to immune response and inflammation as being among the differentially expressed genes in PTSD, including mast cell activation and regulation in CD4T, interferon-beta production in CD8T, and neutrophil related gene sets in monocytes. These findings are suggestive that immune cell dysregulation involves gene expression in various cell populations."
"human","data_sources/sra","SRP132693",91,"A Comparative Assessment of iPSC Derived Cardiomyocytes with Heart Tissues in Humans and Chimpanzees","To study regulatory differences between species, the field of comparative primate genomics has used several approaches, including the use of post mortem frozen tissues, cell lines, and model organisms. However, there are limited quality cell lines from primates and post-mortem tissues cannot be staged, are not amenable to experimental perturbations and are often subject to high environmental variances. Inducible pluripotent stem cells (iPSCs) are an attractive system to study primate biology in a comparative context. However, the fidelity of iPSC derived cell types to primary tissues needs to be assayed in a comparative primate context before the utility of iPSCs can be fully realized for comparative genomics. In order to comprehensively benchmark the performance of iPSC model systems in a comparative framework, we collected RNA-sequencing from primary adult heart tissue and iPSC derived cardiomyocytes from multiple human and chimpanzee individuals.  We identified the optimal parameters of iPSC differentiation into cardiomyocytes that minimized differences between each species and their respective adult tissue counterparts in a balanced manner across species. We found that iPSC derived cardiomyocytes are able to recapitulate 50% of the interspecies gene expression differences identified between human and chimpanzee in primary post mortem heart tissues. Furthermore, we determined that cultured cardiomyocytes appear more similar to adult hearts than any other single tissue in their ability to recapitulate differences in gene regulation between human and chimpanzee. Overall design: We differentiated multiple human (9) and chimpanzee (10) iPSC lines into cardiomyocytes (iPSC-CMs) for 15 days using a recently developed protocol (Burridge et al. 2014; Burridge et al. 2015). After replating at day 15, iPSC-CMs were cultured for 12 more days, resulting in a total differentiation time of 27 days. On days 20-27, iPSC-CMs were treated with T3 (methods), a subset of 5 human and 6 chimpanzee iPSC-CMs were cultured in parallel without T3 treatment. We harvested RNA from all source iPSC lines, iPSC-CMs (day 15), T3 treated and untreated iPSC-CMs (day 27) sample. We harvested RNA from an additional set of 5 human and 6 chimp T3 treated day 27 samples in a second batch that did not have a matched day 15 and (-) T3 set.  Finally, we collected RNA from flash frozen primary heart tissues (21 chimps and 11 humans)."
"human","data_sources/sra","SRP097893",50,"Predicting susceptibility to tuberculosis based on gene expression profiling in dendritic cells","Tuberculosis is a deadly infectious disease, which kills millions of people every year. The causative pathogen, Mycobacterium tuberculosis (MTB), is estimated to have infected up to a third of the world's population; however, only approximately 10% of healthy individuals progress to active TB disease. Despite evidence for heritability, it is not currently possible to predict whether a healthy person is susceptible to TB. To explore approaches to classify susceptibility to TB, we infected with MTB dendritic cells (DCs) from putatively resistant individuals diagnosed with latent TB, and from susceptible individuals that had recovered from a past episode of active TB. We measured genome-wide gene expression levels in infected and non-infected cells and found hundreds of differentially expressed genes between susceptible and resistant individuals in the non-infected cells. We further found that genetic polymorphisms in proximity to the differentially expressed genes between susceptible and resistant individuals are more likely to be associated with TB susceptibility in published GWAS data. By intersecting the gene expression and GWAS data, we identified two promising candidate genes: CCL1 and UNC13A. Lastly, we trained a classifier based on the gene expression levels in the non-infected cells, and demonstrated decent performance on our data and an independent data set. Overall, our promising results from this small study suggest that training a classifier on a larger cohort may enable us to accurately predict TB susceptibility. Overall design: We obtained whole blood samples from 25 healthy male Caucasian individuals. Six of the donors had recovered from active TB, and are thus putatively susceptible. The remaining 19 tested positive for latent TB without ever experiencing symptoms of active TB, and are thus putatively resistant. We isolated dendritic cells (DCs) and treated them with Mycobacterium tuberculosis (MTB) or a mock control for 18 hours. To measure genome-wide gene expression levels in infected and non-infected samples, we isolated and sequenced RNA using a processing pipeline designed to minimize the introduction of unwanted technical variation. There are a total of 50 samples (25 individuals x 2 treatments)."
"human","data_sources/sra","SRP136693",96,"Celll type specific gene expression from healthy human lung tissue infected with mycobacterium tuberculosis (ILC).","We have investigated the initial responses in human lung tissue explants to Mtb infection, focusing primarily on gene expression patterns in different tissue resident innate cell types Overall design: Cells sorted from uninfected and infected lung tissue (24 hrs. post infection)"
"human","data_sources/sra","SRP057793",149,"RNA-seq performed on sarcomas to identify various alterations",NA
"human","data_sources/sra","SRP063493",66,"Cancer associated SF3B1 hotspot mutations induce cryptic 3' splice site selection through use of a different branch point","Recurrent mutations in the spliceosome are observed in several human cancers but their functional and therapeutic significance remain elusive. SF3B1, the most frequently mutated component of the spliceosome in cancer, is involved in the recognition of the branch point sequence (BPS) during selection of the 3' splice site (ss) in RNA splicing. Here, we report that common and tumor-specific splicing aberrations are induced by SF3B1 mutations and establish aberrant 3' ss selection as the most frequent splicing defect. Strikingly, mutant SF3B1 utilizes a BPS that differs from that used by wild-type SF3B1 and requires the canonical 3' ss to enable aberrant splicing during the second step. Approximately 50% of the aberrantly spliced mRNAs are subjected to nonsense-mediated decay resulting in downregulation of gene and protein expression. These findings ascribe functional significance to the consequences of SF3B1 mutations in cancer. Overall design: 72 samples, including two sets of patient data and cell lines with two additional technical replicates each"
"human","data_sources/sra","SRP033393",73,"Analysis of pre-mRNA splicing trans-regulation in human lymphoblastoid cell lines","To understand the role of trans factors in the regulation of splicing and alternative splicing, we knocked-down 22 RNA-binding proteins previously shown or suspected to be involved in the regulation of splicing (“splicing factors”). We performed knockdown experiments in triplicate in the Hapmap lymphoblastoid cell line GM19238 using small interfering RNAs (siRNAs). RNA was extracted 72 hours after knockdown for RNA-seq library preparation. The following splicing factors were analyzed: ACIN1, ADAR, HNRPA2B1, HNRPF, HNRPH1, HNRPH2, HNRPK, HNRPL, HNRPR, PCBP2, PTBP1, RBM23, RBM39, RBMX, RNPS1, SRSF1, SRSF3, SRSF4, SRSF8, SRSF9, SRSF10 and SYNCRIP. Seven controls were generated with non-specific siRNA probes transfection. RNA-seq libraries were multiplexed and sequenced on 3 different flow-cells on an Illumina HiSeq 2000 sequencer (single-end 107 bp long reads). Overall design: 73 samples, including 3 replicates for each of the 22 knockdowns and 7 controls"
"human","data_sources/sra","SRP216293",180,"Promoter activity profiling reveals on- and off-target transcriptional responses to drug treatment","Owing to safety concerns or insufficient potential for efficacy, only 0.01% to 0.02% of new drug candidates are approved for marketing. Drugs already on the market may be withdrawn or restricted to certain uses due to adverse effects (AEs) discovered after market introduction. Comprehensively investigating the on-/off-target effects of drugs can help expose AEs during the drug development process. In this study, we developed an integrative framework for systematic identification of on-/off-target pathways and elucidation of the underlying mechanisms, by combining expression profiling after drug treatment with gene perturbation of the primary drug target. Expression profiles from statin-treated cells and HMG-CoA reductase knockdowns were analyzed using the framework, allowing for identification of not only reported adverse effects but also novel candidates of off-target effects from statin treatment. Our findings may provide new insights for finding new usages or potential side effects of drug treatment. Overall design: CAGE profiling in three different cell types after treatment with four different statins and two siRNAs targeting HMG-CoA reductase (HMGCR), including replicates and control samples."
"human","data_sources/sra","ERP116293",144,"Transcriptomics of a KDELR1-KO cell line reveals defects in ECM formation and modulated cell adhesion properties","KDELRs represent transmembrane proteins of the secretory pathway which regulate the retention of soluble ER-residents as well as retrograde and anterograde trafficking processes. Additionally, they are involved in the regulation of cellular stress responses and ECM degradation. To get insights into KDELR1 specific functions, we characterized a KDELR1-KO cell line (HAP1) and performed a whole transcriptome analysis comparing KDELR1-KO and the respective wildtype HAP1 cells. Our data indicates more than 300 significantly differentially expressed genes which are mainly associated with developmental processes, cell adhesion and ECM composition point to severe cellular disorders due to KDELR1 loss. Impaired adhesion capacity of KDELR1-KO cells was further confirmed by adhesion assays and might be caused by deficient ECM formation due to transport defects. Thus, ECM rescue by collagen- and laminin-coating nearly doubled the adhesion property of KDELR1-KO cells compared to wildtype, confirming transcriptional adaptation to improve the adhesion ability. Perturbations within the secretory pathway were further verified by an increased secretion of ER-resident PDI and decreased cell viability under ER stress conditions, suggesting strong difficulties for KDELR1-KO cells to maintain cellular homeostasis."
"human","data_sources/sra","SRP049593",406,"7q11.23 dosage-dependent dysregulation in the human pluripotent state primes aberrant transcriptional programs in disease-relevant lineages (RNAseq)","We apply the cellular reprogramming experimental paradigm to two disorders caused by symmetrical copy number variations (CNV) of 7q11.23 and displaying a striking combination of shared as well as symmetrically opposite phenotypes: Williams Beuren syndrome (WBS) and 7q microduplication syndrome (7dupASD). Through a uniquely large and informative cohort of transgene-free patient-derived induced pluripotent stem cells (iPSC), along with their differentiated derivatives, we find that 7q11.23 CNV disrupt transcriptional circuits in disease-relevant pathways already at the pluripotent state. These alterations are then selectively amplified upon differentiation into disease-relevant lineages, thereby establishing the value of large iPSC cohorts in the elucidation of disease-relevant developmental pathways. In addition, we functionally define the quota of transcriptional dysregulation specifically caused by dosage imbalances in GTF2I (also known as TFII-I), a transcription factor in 7q11.23 thought to play a critical role in the two conditions, which we found associated to key repressive chromatin modifiers. Finally, we created an open-access web-based platform (accessible at http://bio.ieo.eu/wbs/ ) to make accessible our multi-layered datasets and integrate contributions by the entire community working on the molecular dissection of the 7q11.23 syndromes. Overall design: We reprogrammed skin fibroblasts from patients harbouring a 7q11.23 hemi-deletion (WBS, 4 patients; +1 atypical deletion, AtWBS) or microduplication (7dupASD; 2 patients), as well as from one unaffected relative and two unrelated controls, using integration-free mRNA-reprogramming, leading to the establishment of a total of 27 characterized iPSC clones. We profiled these by RNAseq (either polyA or ribo-zero). To isolate the contribution of GTF2I to the transcriptional dysregulation, we created stable lines expressing a short hairpin against GTF2I from a representative subset of these iPSC clones, and profiled by RNAseq 7 such lines along with their respective scramble controls. Finally, we also profiled by RNAseq mesenchymal stem cells (MSC) derived from a representative subset of the lines."
"human","data_sources/sra","SRP149545",480,"Human lineage tracing enabled by mitochondrial mutations and single cell genomics [CC100_scRNA]","Lineage tracing provides unprecedented insights into the fate of individual cells and their progeny in complex organisms. While effective genetic approaches have been developed in vitro and in animal models, these cannot be used to interrogate human physiology in vivo. Instead, naturally occurring somatic mutations have been utilized to infer clonality and lineal relationships between cells in human tissues, but current approaches are limited by high error rates and scale, and provide little information about the state or function of the cells. Here, we show how somatic mutations in mitochondrial DNA (mtDNA) can be tracked by current single cell RNA-Seq (scRNA-Seq) or single cell ATAC-Seq (scATAC-Seq) for simultaneous analysis of single cell lineage and state. We leverage somatic mtDNA mutations as natural genetic barcodes and demonstrate their use as clonal markers to infer lineal relationships. We trace the lineage of human cells by somatic mtDNA mutations in a native context both in vitro and in vivo, and relate it to expression profiles and chromatin accessibility. Our approach should allow lineage tracing at a 100- to 1,000-fold greater scale than with single cell whole genome sequencing, while providing information on cell state, opening the way to chart detailed cell lineage and fate maps in human health and disease. A variety of experimental designs using cells derived from both in vitro and in vivo to determine the efficacy of using mtDNA mutations in human clonal tracing. Overall design: A population of 30 primary hematopoietic cells were expanded and forwarded to a combination of ATAC-seq and single cell RNA-seq. single cell RNA-seq samples are listed here."
"human","data_sources/sra","SRP078945",54,"Retrotransposon capturing and sequencing in human myogenesis","In order to understand how L1 activity impact the genomic landscape in myogenesis, we mapped L1 novel insertions performing in liquid RC-seq (Retrotransposon capturing and sequencing) on genomic DNA extracted from a survey of primary muscle cells, biopsies and pbmc from the same individuals enrolled in this study ."
"human","data_sources/sra","SRP107845",52,"YAP Repression of the WNT3 Gene Controls hESC Differentiation Along the Cardiac Mesoderm Lineage","In hESCs, Wnt3/ß-catenin activity is low and Activin/SMAD signaling ensures NANOG expression to sustain pluripotency. In response to exogenous Wnt3 effectors, Activin/SMADs switch to cooperate with ß-catenin and induce mesendodermal differentiation genes. We show here that the HIPPO effector YAP binds to the WNT3 gene enhancer and prevents the gene from being induced by Activin in proliferating hESCs. In the absence of YAP, Activin signaling is sufficient to induce expression of the endogenous Wnt3 cytokine, which stabilizes ß-catenin and selectively activates genes required for cardiac mesoderm (ME) formation. Interestingly, Activin-stimulated YAP-knockout hESCs strongly express ß-catenin-dependent cardiac mesoderm markers (BAF60c and HAND1), but unlike WT hESCs, fail to express cardiac inhibitor genes (CDX2, MSX1).  Accordingly, YAP-/- cells treated with Activin alone can differentiate efficiently to beating cardiomyocytes in culture, bypassing the need for sequential treatment with exogenous Wnt ligand and Wnt inhibitors.  Similarly, Activin in combination with small-molecule YAP inhibitors generates beating cardiomyocytes from wild-type hESCs following a one- step protocol. Our findings highlight an unanticipated role of YAP as an upstream regulator of WNT3 to maintain hESC pluripotency in the presence of Activin, and uncover a direct route for the development of human embryonic cardiac mesoderm. Overall design: We performed a set of sequencing experiments to identify the role of YAP in hESCs and whether YAP influences the activity of the Activin and Wnt signaling pathways during the mesoderm differentiation. We performed transcriptional profile of WT and YAP-KO cells under different Wnt or Activin treatments and performed ChIP-seq analysis of the Wnt and Activin effectors beta-catenin and Smad2,3. In parallel we also mapped the binding of the YAP protein together with TEAD4 DNA-binding protein in hESCs. As a read-out of transcriptional activity under the different treatments we performed ChIP-seq of the active elongation mark CTD-Ser7P RNAPII."
"human","data_sources/sra","ERP109332",117,"Single cell RNA-sequencing of PBMC derived B cells from human healthy donor","Motivation: The B-cell receptor (BCR) performs essential functions for the adaptive immune system including recognition of pathogen-derived antigens. The vast repertoire and adaptive variation of BCR sequences due to V(D)J recombination and somatic hypermutation (SHM) necessitates single-cell characterization of BCR sequences. Single-cell RNA sequencing (scRNA-seq) presents the opportunity for simultaneous capture of paired BCR heavy and light chains and the transcriptomic signature.  Results: We developed VDJPuzzle, a novel bioinformatic tool that reconstructs productive, full-length B-cell receptor sequences of both heavy and light chains. VDJPuzzle successfully reconstructed BCRs from 98.3% (n=117) human and 96.5% (n=200) murine B cells. The reconstructed BCRs were successfully validated with single-cell Sanger sequencing.  Availability: VDJPuzzle is available at https://bitbucket.org/kirbyvisp/vdjpuzzle2"
"human","data_sources/sra","SRP163132",124,"TET2 coactivates gene expression through demethylation of enhancers","The tet methylcytosine dioxygenase 2 (TET2) enzyme catalyzes the conversion of the modified DNA base 5-methylcytosine to 5-hydroxymethylcytosine. TET2 is frequently mutated or dysregulated in multiple human cancers, and loss of TET2 is associated with changes in DNA methylation patterns. Here, using newly developed TET2-specific antibodies and the estrogen response as a model system for studying the regulation of gene expression, we demonstrate that endogenous TET2 occupies active enhancers and facilitates the proper recruitment of ERalpha. Knockout of TET2 by CRISPR-CAS9 leads to a global increase of DNA-methylation at enhancers resulting in attenuation of the estrogen response. We further identified a positive feedback loop between TET2 and ERalpha, which further requires MLL3/COMPASS at these enhancers. Together, this study reveals an epigenetic axis coordinating a transcriptional program through enhancer activation via DNA demethylation. Overall design: To examine changes in histone modifications, ER-alpha occupancy, MLL3 occupancy, and gene expression changes after depletion of TET2 in human breast cancer cell lines."
